No_of_prevloans,Total_amount_due,Average_termdays,loannumber,good_bad_flag,age,bank_account_type_Current,loan_approval_time,loan_firstPayment_time
5.0,60500.0,21.0,6.0,1,34.0,0,1.0186111111111111,15.0
5.0,62000.0,24.0,6.0,0,35.0,0,1.0016666666666667,9.0
5.0,67800.0,15.0,6.0,1,29.0,0,1.0016666666666667,10.0
2.0,26000.0,30.0,3.0,1,35.0,0,1.0016666666666667,30.0
2.0,26000.0,30.0,3.0,1,31.0,0,1.0019444444444443,28.0
2.0,24500.0,22.5,3.0,1,33.0,0,1.0019444444444443,26.0
12.0,314950.0,22.5,13.0,1,38.0,0,1.002222222222222,29.0
6.0,111500.0,22.5,7.0,0,34.0,0,1.0019444444444443,30.0
2.0,24500.0,22.5,3.0,1,45.0,0,1.0016666666666667,29.0
1.0,13000.0,30.0,2.0,1,42.0,0,1.018888888888889,32.0
1.0,13000.0,30.0,2.0,0,39.0,0,1.018888888888889,29.0
13.0,311850.0,27.692307692307693,14.0,1,38.0,0,1.0025,26.0
1.0,13000.0,30.0,2.0,0,32.0,0,1.0030555555555556,30.0
1.0,13000.0,30.0,2.0,0,40.0,0,1.0191666666666668,27.0
2.0,26000.0,30.0,3.0,1,33.0,0,1.002222222222222,31.0
2.0,26000.0,30.0,3.0,1,37.0,0,1.0016666666666667,28.0
12.0,456400.0,52.5,13.0,1,45.0,0,1.0016666666666667,26.0
1.0,13000.0,30.0,2.0,0,34.0,0,1.018888888888889,18.0
4.0,55125.0,26.25,5.0,1,32.0,0,1.0019444444444443,27.0
3.0,34500.0,15.0,4.0,1,32.0,0,1.0016666666666667,16.0
4.0,60500.0,22.5,5.0,1,43.0,0,1.018333333333333,28.0
2.0,26000.0,30.0,3.0,1,44.0,0,1.0019444444444443,29.0
3.0,36000.0,20.0,4.0,1,36.0,0,1.0016666666666667,11.0
7.0,165200.0,27.857142857142858,8.0,1,35.0,0,1.0016666666666667,21.0
11.0,242200.0,30.0,12.0,1,48.0,0,1.0016666666666667,31.0
4.0,63500.0,30.0,5.0,1,43.0,0,1.0019444444444443,32.0
6.0,110300.0,27.5,7.0,1,39.0,0,1.0019444444444443,33.0
1.0,11500.0,15.0,2.0,1,37.0,0,1.0186111111111111,9.0
1.0,11500.0,15.0,2.0,1,38.0,0,1.018888888888889,11.0
2.0,23000.0,15.0,3.0,1,36.0,0,1.002222222222222,20.0
11.0,158200.0,16.363636363636363,12.0,1,36.0,0,1.0019444444444443,12.0
4.0,47500.0,18.75,5.0,1,34.0,0,1.0016666666666667,26.0
4.0,59000.0,18.75,5.0,1,47.0,0,1.0052777777777775,30.0
1.0,13000.0,30.0,2.0,1,35.0,0,1.0191666666666668,29.0
8.0,154100.0,24.375,9.0,1,41.0,0,1.002222222222222,30.0
3.0,34500.0,15.0,4.0,1,44.0,0,1.0019444444444443,12.0
2.0,23000.0,15.0,3.0,1,44.0,0,1.0025,14.0
18.0,557925.0,21.666666666666668,19.0,1,41.0,0,1.002222222222222,29.0
1.0,13000.0,30.0,2.0,1,40.0,0,1.002222222222222,25.0
2.0,26000.0,30.0,3.0,1,36.0,0,1.0016666666666667,31.0
2.0,26000.0,30.0,3.0,0,30.0,0,1.0019444444444443,50.0
2.0,24500.0,22.5,3.0,0,32.0,0,1.0016666666666667,28.0
12.0,382000.0,32.5,13.0,1,40.0,0,1.0016666666666667,22.0
2.0,24500.0,22.5,3.0,1,42.0,0,1.0016666666666667,29.0
10.0,230300.0,25.5,11.0,1,39.0,0,1.018888888888889,29.0
1.0,11500.0,15.0,2.0,1,33.0,0,1.0202777777777778,9.0
10.0,238900.0,33.0,11.0,1,34.0,0,1.0019444444444443,29.0
12.0,345900.0,27.5,13.0,0,48.0,0,1.002222222222222,12.0
2.0,26000.0,30.0,3.0,1,43.0,0,1.0019444444444443,29.0
9.0,233300.0,30.0,10.0,1,38.0,0,1.0019444444444443,30.0
1.0,13000.0,30.0,2.0,1,34.0,0,1.003611111111111,25.0
2.0,23000.0,15.0,3.0,1,47.0,0,1.0016666666666667,9.0
1.0,13000.0,30.0,2.0,1,49.0,0,1.018888888888889,30.0
1.0,13000.0,30.0,2.0,0,42.0,0,1.0019444444444443,26.0
2.0,26000.0,30.0,3.0,1,33.0,0,1.0019444444444443,44.0
1.0,13000.0,30.0,2.0,1,31.0,0,1.0191666666666668,29.0
3.0,49000.0,25.0,4.0,1,42.0,1,1.0019444444444443,28.0
9.0,145900.0,25.0,10.0,1,39.0,0,1.0016666666666667,30.0
2.0,26000.0,30.0,3.0,0,40.0,0,1.0027777777777778,29.0
1.0,13000.0,30.0,2.0,0,39.0,0,1.0025,56.0
3.0,39000.0,30.0,4.0,1,37.0,1,1.0019444444444443,30.0
1.0,13000.0,30.0,2.0,1,39.0,0,1.0191666666666668,27.0
10.0,315900.0,45.0,11.0,1,39.0,0,1.0186111111111111,30.0
2.0,23000.0,15.0,3.0,1,32.0,0,1.0016666666666667,10.0
1.0,13000.0,30.0,2.0,1,33.0,0,1.003611111111111,33.0
7.0,140800.0,25.714285714285715,8.0,1,45.0,0,1.002222222222222,27.0
1.0,13000.0,30.0,2.0,1,31.0,0,1.0186111111111111,23.0
1.0,11500.0,15.0,2.0,1,32.0,0,1.018888888888889,15.0
2.0,26000.0,30.0,3.0,1,44.0,0,1.0016666666666667,25.0
4.0,54375.0,22.5,5.0,1,35.0,0,1.0019444444444443,30.0
2.0,26000.0,30.0,3.0,1,33.0,0,1.0019444444444443,34.0
2.0,26000.0,30.0,3.0,1,41.0,0,1.0019444444444443,30.0
1.0,13000.0,30.0,2.0,1,41.0,0,1.018888888888889,26.0
15.0,409150.0,31.0,16.0,1,39.0,0,1.0030555555555556,24.0
3.0,39000.0,30.0,4.0,1,35.0,0,1.0016666666666667,28.0
10.0,179275.0,21.0,11.0,1,37.0,1,1.002222222222222,32.0
5.0,94250.0,21.0,6.0,1,36.0,0,1.0019444444444443,28.0
4.0,60500.0,22.5,5.0,1,39.0,0,1.002222222222222,27.0
1.0,13000.0,30.0,2.0,1,33.0,0,1.0019444444444443,43.0
3.0,34500.0,15.0,4.0,1,50.0,0,1.0019444444444443,14.0
3.0,36000.0,20.0,4.0,1,47.0,0,1.0019444444444443,28.0
2.0,26000.0,30.0,3.0,0,40.0,0,1.0186111111111111,47.0
1.0,11500.0,15.0,2.0,1,40.0,0,1.0055555555555555,5.0
7.0,156400.0,30.0,8.0,0,31.0,0,1.0019444444444443,29.0
3.0,39000.0,30.0,4.0,1,35.0,0,1.002222222222222,29.0
6.0,109600.0,27.5,7.0,1,37.0,0,1.0016666666666667,29.0
6.0,100550.0,15.0,7.0,1,35.0,0,1.0027777777777778,13.0
1.0,11500.0,15.0,2.0,0,36.0,0,1.018888888888889,19.0
9.0,267050.0,26.666666666666668,10.0,1,35.0,0,1.0044444444444445,28.0
1.0,11500.0,15.0,2.0,1,43.0,0,1.018888888888889,10.0
1.0,13000.0,30.0,2.0,1,40.0,0,1.018888888888889,9.0
1.0,11500.0,15.0,2.0,1,53.0,0,1.018888888888889,11.0
8.0,132600.0,28.125,9.0,1,38.0,0,1.0194444444444444,28.0
6.0,67450.0,15.0,7.0,1,45.0,0,1.018333333333333,20.0
4.0,63275.0,26.25,5.0,1,46.0,0,1.0019444444444443,25.0
7.0,102500.0,30.0,8.0,1,32.0,0,1.0019444444444443,30.0
8.0,184700.0,24.375,9.0,1,41.0,0,1.0186111111111111,26.0
1.0,13000.0,30.0,2.0,1,34.0,0,1.018888888888889,21.0
4.0,52000.0,30.0,5.0,1,38.0,0,1.003611111111111,26.0
1.0,13000.0,30.0,2.0,1,40.0,0,1.018888888888889,50.0
5.0,67850.0,15.0,6.0,1,38.0,0,1.0027777777777778,9.0
3.0,37500.0,25.0,4.0,1,38.0,0,1.0016666666666667,29.0
4.0,51250.0,30.0,5.0,1,37.0,0,1.018333333333333,25.0
1.0,13000.0,30.0,2.0,1,37.0,0,1.0191666666666668,30.0
4.0,52000.0,30.0,5.0,0,29.0,0,1.002222222222222,29.0
1.0,13000.0,30.0,2.0,1,54.0,0,1.0191666666666668,28.0
1.0,13000.0,30.0,2.0,1,39.0,0,1.018888888888889,19.0
6.0,90125.0,15.0,7.0,1,41.0,0,1.0019444444444443,18.0
1.0,13000.0,30.0,2.0,1,37.0,0,1.003611111111111,11.0
4.0,60500.0,22.5,5.0,1,47.0,0,1.0016666666666667,28.0
8.0,182750.0,24.375,9.0,1,44.0,0,1.0025,29.0
1.0,13000.0,30.0,2.0,0,40.0,0,1.002222222222222,31.0
2.0,26000.0,30.0,3.0,1,41.0,1,1.002222222222222,42.0
1.0,11500.0,15.0,2.0,1,30.0,0,1.0027777777777778,2.0
5.0,79000.0,15.0,6.0,0,35.0,0,1.0019444444444443,14.0
2.0,24500.0,22.5,3.0,1,37.0,0,1.0019444444444443,6.0
6.0,110300.0,27.5,7.0,1,36.0,0,1.0016666666666667,29.0
7.0,155600.0,30.0,8.0,0,35.0,0,1.0016666666666667,28.0
2.0,24500.0,22.5,3.0,1,45.0,0,1.018888888888889,8.0
6.0,98800.0,27.5,7.0,1,54.0,0,1.0191666666666668,28.0
1.0,11500.0,15.0,2.0,1,45.0,0,1.0191666666666668,9.0
2.0,26000.0,30.0,3.0,1,40.0,0,1.0019444444444443,30.0
9.0,207000.0,31.666666666666668,10.0,1,39.0,0,1.002222222222222,25.0
4.0,46000.0,15.0,5.0,1,38.0,0,1.0191666666666668,14.0
1.0,13000.0,30.0,2.0,1,45.0,0,1.0033333333333334,38.0
1.0,13000.0,30.0,2.0,1,45.0,0,1.0186111111111111,26.0
2.0,26000.0,30.0,3.0,0,31.0,0,1.0016666666666667,29.0
1.0,13000.0,30.0,2.0,1,36.0,0,1.0019444444444443,30.0
1.0,11500.0,15.0,2.0,1,37.0,0,1.0025,25.0
12.0,336400.0,37.5,13.0,1,44.0,0,1.002222222222222,29.0
1.0,13000.0,30.0,2.0,1,37.0,0,1.0038888888888888,16.0
5.0,62000.0,24.0,6.0,0,42.0,0,1.0019444444444443,20.0
4.0,52000.0,30.0,5.0,0,43.0,0,1.0016666666666667,29.0
3.0,37500.0,25.0,4.0,1,45.0,0,1.0016666666666667,30.0
9.0,161450.0,20.0,10.0,0,38.0,0,1.0186111111111111,7.0
1.0,11500.0,15.0,2.0,0,43.0,0,1.002222222222222,14.0
3.0,39000.0,30.0,4.0,1,43.0,0,1.0016666666666667,34.0
1.0,13000.0,30.0,2.0,1,49.0,0,1.018888888888889,21.0
3.0,36000.0,20.0,4.0,0,41.0,0,1.0016666666666667,22.0
5.0,74900.0,27.0,6.0,1,38.0,0,1.002222222222222,17.0
1.0,11500.0,15.0,2.0,0,30.0,0,1.0197222222222222,13.0
1.0,11500.0,15.0,2.0,1,31.0,0,1.0019444444444443,19.0
10.0,151750.0,21.0,11.0,1,30.0,0,1.0186111111111111,12.0
2.0,26000.0,30.0,3.0,0,30.0,0,1.0019444444444443,40.0
12.0,294900.0,22.5,13.0,1,44.0,0,1.002222222222222,28.0
1.0,13000.0,30.0,2.0,1,34.0,0,1.018888888888889,31.0
3.0,49000.0,25.0,4.0,1,42.0,0,1.0019444444444443,27.0
4.0,49000.0,22.5,5.0,0,45.0,0,1.018333333333333,26.0
12.0,295500.0,33.75,13.0,1,28.0,0,1.0019444444444443,27.0
2.0,26000.0,30.0,3.0,1,31.0,0,1.0019444444444443,30.0
2.0,24500.0,22.5,3.0,1,41.0,0,1.0019444444444443,25.0
5.0,65000.0,30.0,6.0,0,50.0,0,1.0186111111111111,42.0
3.0,37000.0,25.0,4.0,1,44.0,0,1.0019444444444443,29.0
7.0,141100.0,23.571428571428573,8.0,0,43.0,0,1.0016666666666667,29.0
3.0,37500.0,25.0,4.0,1,34.0,0,1.0019444444444443,27.0
5.0,87300.0,30.0,6.0,0,43.0,0,1.0033333333333334,48.0
3.0,34500.0,15.0,4.0,1,43.0,0,1.0016666666666667,15.0
1.0,11500.0,15.0,2.0,0,30.0,0,1.0191666666666668,9.0
1.0,11500.0,15.0,2.0,1,50.0,0,1.018888888888889,14.0
1.0,11500.0,15.0,2.0,1,44.0,0,1.018888888888889,8.0
6.0,83500.0,20.0,7.0,1,43.0,0,1.0019444444444443,28.0
1.0,11500.0,15.0,2.0,1,51.0,0,1.0033333333333334,16.0
2.0,26000.0,30.0,3.0,1,45.0,0,1.0019444444444443,27.0
4.0,56250.0,15.0,5.0,1,43.0,0,1.0019444444444443,36.0
1.0,13000.0,30.0,2.0,1,34.0,0,1.018888888888889,57.0
10.0,278300.0,28.5,11.0,1,56.0,0,1.0019444444444443,21.0
2.0,26000.0,30.0,3.0,0,39.0,0,1.0186111111111111,42.0
4.0,63500.0,30.0,5.0,1,49.0,0,1.0019444444444443,31.0
1.0,13000.0,30.0,2.0,1,30.0,0,1.0027777777777778,26.0
9.0,189600.0,30.0,10.0,1,37.0,0,1.0019444444444443,25.0
2.0,26000.0,30.0,3.0,0,33.0,0,1.002222222222222,31.0
9.0,174700.0,18.33333333333333,10.0,1,42.0,0,1.0013888888888889,28.0
1.0,13000.0,30.0,2.0,1,45.0,0,1.018888888888889,23.0
8.0,169550.0,18.75,9.0,1,41.0,0,1.0019444444444443,33.0
4.0,46750.0,18.75,5.0,1,35.0,0,1.0019444444444443,12.0
7.0,141800.0,23.571428571428573,8.0,1,42.0,0,1.0019444444444443,30.0
5.0,59000.0,18.0,6.0,0,44.0,0,1.0019444444444443,37.0
1.0,11500.0,15.0,2.0,1,44.0,0,1.0197222222222222,14.0
1.0,13000.0,30.0,2.0,1,47.0,0,1.018888888888889,29.0
3.0,36000.0,20.0,4.0,1,37.0,0,1.0016666666666667,31.0
5.0,57500.0,15.0,6.0,1,45.0,0,1.018333333333333,19.0
6.0,143300.0,30.0,7.0,1,37.0,0,1.0019444444444443,23.0
1.0,13000.0,30.0,2.0,1,50.0,0,1.002222222222222,29.0
1.0,13000.0,30.0,2.0,1,36.0,0,1.0041666666666669,26.0
4.0,52000.0,30.0,5.0,1,39.0,0,1.0019444444444443,27.0
2.0,26000.0,30.0,3.0,1,45.0,0,1.0019444444444443,27.0
2.0,26000.0,30.0,3.0,1,39.0,0,1.003611111111111,28.0
3.0,34500.0,15.0,4.0,0,45.0,0,1.0016666666666667,15.0
1.0,11500.0,15.0,2.0,1,29.0,0,1.018888888888889,14.0
8.0,177850.0,28.125,9.0,1,38.0,0,1.0016666666666667,29.0
5.0,86500.0,30.0,6.0,0,40.0,0,1.003611111111111,32.0
1.0,13000.0,30.0,2.0,1,35.0,0,1.0019444444444443,28.0
7.0,91725.0,23.571428571428573,8.0,1,37.0,0,1.0016666666666667,30.0
3.0,37500.0,25.0,4.0,1,35.0,0,1.0016666666666667,31.0
5.0,63500.0,27.0,6.0,0,51.0,0,1.0019444444444443,38.0
3.0,39000.0,30.0,4.0,1,41.0,0,1.0016666666666667,29.0
3.0,39000.0,30.0,4.0,1,34.0,0,1.002222222222222,29.0
8.0,199600.0,30.0,9.0,0,45.0,0,1.0019444444444443,57.0
8.0,127000.0,30.0,9.0,1,45.0,0,1.018333333333333,6.0
1.0,11500.0,15.0,2.0,1,33.0,0,1.0019444444444443,12.0
6.0,123050.0,25.0,7.0,1,32.0,0,1.0019444444444443,26.0
3.0,36000.0,20.0,4.0,0,47.0,0,1.0016666666666667,1.0
2.0,23000.0,15.0,3.0,0,31.0,0,1.0016666666666667,16.0
7.0,89500.0,27.857142857142858,8.0,1,31.0,0,1.0191666666666668,32.0
1.0,11500.0,15.0,2.0,1,37.0,0,1.0038888888888888,13.0
2.0,26000.0,30.0,3.0,0,35.0,0,1.0019444444444443,45.0
1.0,13000.0,30.0,2.0,0,41.0,0,1.0191666666666668,3.0
1.0,11500.0,15.0,2.0,1,38.0,0,1.018888888888889,4.0
9.0,147075.0,16.666666666666668,10.0,1,36.0,0,1.0019444444444443,7.0
9.0,206250.0,30.0,10.0,1,30.0,0,1.0186111111111111,24.0
1.0,13000.0,30.0,2.0,1,33.0,0,1.0191666666666668,22.0
4.0,46000.0,15.0,5.0,0,48.0,0,1.002222222222222,26.0
1.0,13000.0,30.0,2.0,1,41.0,0,1.018888888888889,24.0
2.0,23000.0,15.0,3.0,0,39.0,0,1.0019444444444443,17.0
2.0,26000.0,30.0,3.0,1,31.0,0,1.0016666666666667,29.0
1.0,13000.0,30.0,2.0,1,35.0,0,1.018888888888889,18.0
7.0,80500.0,15.0,8.0,1,34.0,0,1.018888888888889,16.0
1.0,11500.0,15.0,2.0,1,49.0,0,1.0202777777777778,12.0
1.0,11500.0,15.0,2.0,1,34.0,0,1.0186111111111111,15.0
7.0,161600.0,25.714285714285715,8.0,1,32.0,0,1.0186111111111111,30.0
5.0,70500.0,18.0,6.0,1,47.0,0,1.0019444444444443,26.0
1.0,11500.0,15.0,2.0,0,32.0,0,1.0041666666666669,4.0
1.0,13000.0,30.0,2.0,1,30.0,0,1.018888888888889,29.0
14.0,357800.0,28.928571428571427,15.0,1,36.0,0,1.0016666666666667,29.0
4.0,57375.0,30.0,5.0,1,38.0,0,1.0019444444444443,29.0
3.0,37500.0,25.0,4.0,1,31.0,0,1.0016666666666667,22.0
4.0,52875.0,18.75,5.0,1,38.0,0,1.0016666666666667,30.0
9.0,211150.0,30.0,10.0,1,33.0,0,1.0038888888888888,31.0
1.0,13000.0,30.0,2.0,1,48.0,0,1.018888888888889,22.0
7.0,137100.0,32.142857142857146,8.0,1,38.0,0,1.002222222222222,42.0
1.0,13000.0,30.0,2.0,1,56.0,0,1.002222222222222,23.0
1.0,13000.0,30.0,2.0,1,58.0,0,1.0191666666666668,27.0
7.0,132600.0,30.0,8.0,1,41.0,0,1.018888888888889,37.0
12.0,414000.0,47.5,13.0,1,39.0,0,1.0186111111111111,29.0
2.0,24500.0,22.5,3.0,1,35.0,0,1.0019444444444443,28.0
1.0,13000.0,30.0,2.0,1,40.0,1,1.0194444444444444,22.0
1.0,13000.0,30.0,2.0,1,39.0,0,1.0047222222222223,33.0
1.0,11500.0,30.0,2.0,1,38.0,0,1.0191666666666668,14.0
2.0,24500.0,22.5,3.0,1,47.0,0,1.0019444444444443,29.0
4.0,52000.0,30.0,5.0,1,41.0,0,1.0186111111111111,34.0
2.0,73500.0,45.0,4.0,1,39.0,0,1.002222222222222,28.0
5.0,75000.0,27.0,6.0,1,46.0,0,1.0019444444444443,31.0
1.0,13000.0,30.0,2.0,1,48.0,0,1.018888888888889,30.0
4.0,60500.0,22.5,5.0,1,35.0,0,1.0025,29.0
11.0,242725.0,27.27272727272728,12.0,0,45.0,0,1.005,31.0
1.0,11500.0,15.0,2.0,1,38.0,0,1.0197222222222222,10.0
2.0,23000.0,15.0,3.0,1,40.0,0,1.0016666666666667,15.0
1.0,11500.0,15.0,2.0,1,43.0,0,1.0041666666666669,12.0
9.0,234200.0,40.0,10.0,1,38.0,0,1.0019444444444443,29.0
2.0,24500.0,22.5,3.0,1,36.0,0,1.0016666666666667,12.0
14.0,328300.0,26.785714285714285,15.0,1,44.0,0,1.0033333333333334,26.0
9.0,213800.0,30.0,10.0,1,49.0,0,1.0019444444444443,27.0
1.0,13000.0,30.0,2.0,1,37.0,0,1.0030555555555556,15.0
2.0,24500.0,22.5,3.0,1,39.0,0,1.003611111111111,16.0
2.0,25500.0,30.0,3.0,0,33.0,0,1.0016666666666667,21.0
10.0,249150.0,31.5,11.0,1,48.0,0,1.0016666666666667,26.0
7.0,142600.0,25.714285714285715,8.0,1,42.0,0,1.0016666666666667,30.0
13.0,460500.0,36.92307692307692,14.0,1,46.0,0,1.0016666666666667,24.0
5.0,65687.5,21.0,6.0,1,41.0,0,1.002222222222222,3.0
9.0,213400.0,35.0,10.0,1,30.0,0,1.018333333333333,29.0
7.0,129925.0,23.571428571428573,8.0,1,40.0,0,1.0016666666666667,30.0
5.0,117250.0,27.0,6.0,1,45.0,0,1.002222222222222,24.0
7.0,102000.0,15.0,8.0,1,36.0,0,1.0019444444444443,16.0
1.0,13000.0,30.0,2.0,0,46.0,0,1.0191666666666668,28.0
1.0,13000.0,30.0,2.0,1,56.0,0,1.0194444444444444,28.0
3.0,34500.0,15.0,4.0,0,32.0,0,1.0013888888888889,29.0
4.0,62000.0,26.25,5.0,1,44.0,0,1.0019444444444443,26.0
2.0,26000.0,30.0,3.0,1,39.0,0,1.0041666666666669,42.0
1.0,11500.0,15.0,2.0,1,30.0,0,1.018888888888889,11.0
6.0,113450.0,17.5,7.0,1,42.0,0,1.0019444444444443,11.0
1.0,11500.0,15.0,2.0,0,33.0,0,1.018888888888889,17.0
4.0,63500.0,30.0,5.0,1,39.0,0,1.0019444444444443,28.0
1.0,11500.0,15.0,2.0,1,52.0,0,1.0194444444444444,11.0
15.0,461375.0,27.0,16.0,1,35.0,0,1.0194444444444444,22.0
3.0,39000.0,30.0,4.0,0,44.0,0,1.0019444444444443,22.0
1.0,11500.0,15.0,2.0,0,40.0,0,1.0019444444444443,16.0
12.0,380200.0,41.25,13.0,1,30.0,0,1.0019444444444443,26.0
2.0,26000.0,30.0,3.0,0,40.0,0,1.0027777777777778,31.0
2.0,24500.0,22.5,3.0,0,36.0,0,1.0016666666666667,37.0
1.0,11500.0,15.0,2.0,1,36.0,0,1.018888888888889,13.0
1.0,11500.0,15.0,2.0,0,43.0,0,1.0191666666666668,22.0
1.0,13000.0,30.0,2.0,1,53.0,0,1.0033333333333334,61.0
9.0,267200.0,31.666666666666668,10.0,1,34.0,0,1.0016666666666667,32.0
2.0,37000.0,30.0,3.0,1,46.0,0,1.0019444444444443,28.0
8.0,205400.0,37.5,9.0,1,40.0,0,1.0019444444444443,10.0
12.0,294225.0,25.0,13.0,1,46.0,0,1.0019444444444443,22.0
4.0,59000.0,18.75,5.0,1,40.0,0,1.0016666666666667,30.0
4.0,57375.0,30.0,5.0,1,42.0,0,1.0019444444444443,27.0
4.0,52000.0,30.0,5.0,0,39.0,0,1.002222222222222,30.0
9.0,257200.0,43.333333333333336,10.0,1,34.0,0,1.0055555555555555,38.0
15.0,479400.0,25.0,16.0,1,47.0,0,1.0016666666666667,31.0
1.0,11500.0,15.0,2.0,1,35.0,0,1.018888888888889,10.0
1.0,13000.0,30.0,2.0,1,37.0,0,1.0186111111111111,29.0
1.0,13000.0,30.0,2.0,0,37.0,0,1.0030555555555556,38.0
1.0,13000.0,30.0,2.0,0,38.0,0,1.018888888888889,26.0
2.0,24500.0,22.5,3.0,0,43.0,0,1.0019444444444443,36.0
11.0,346375.0,27.27272727272728,12.0,1,37.0,0,1.0038888888888888,28.0
1.0,13000.0,30.0,2.0,1,31.0,0,1.0186111111111111,26.0
7.0,170800.0,32.142857142857146,8.0,1,53.0,0,1.002222222222222,28.0
8.0,120175.0,30.0,9.0,0,33.0,0,1.0016666666666667,28.0
3.0,39000.0,30.0,4.0,1,33.0,0,1.0016666666666667,37.0
4.0,56750.0,15.0,5.0,1,46.0,0,1.0016666666666667,14.0
8.0,103250.0,30.0,9.0,1,43.0,0,1.0016666666666667,30.0
9.0,281700.0,33.333333333333336,10.0,1,43.0,0,1.0019444444444443,25.0
6.0,76000.0,27.5,7.0,1,36.0,0,1.0016666666666667,41.0
5.0,60500.0,21.0,6.0,1,38.0,0,1.0019444444444443,58.0
13.0,359300.0,31.15384615384616,14.0,0,29.0,0,1.0186111111111111,33.0
1.0,13000.0,30.0,2.0,1,33.0,0,1.018888888888889,24.0
3.0,34500.0,15.0,4.0,0,41.0,0,1.002222222222222,21.0
1.0,13000.0,30.0,2.0,0,40.0,1,1.018888888888889,44.0
1.0,11500.0,15.0,2.0,0,31.0,0,1.018888888888889,12.0
6.0,109100.0,27.5,7.0,1,36.0,0,1.0019444444444443,29.0
1.0,13000.0,30.0,2.0,1,39.0,0,1.0191666666666668,26.0
6.0,101250.0,15.0,7.0,1,42.0,0,1.0019444444444443,14.0
2.0,26000.0,30.0,3.0,1,36.0,0,1.0016666666666667,25.0
2.0,26000.0,30.0,3.0,1,31.0,0,1.0016666666666667,28.0
3.0,39000.0,30.0,4.0,1,45.0,0,1.0013888888888889,29.0
1.0,11500.0,15.0,2.0,1,33.0,0,1.018888888888889,11.0
6.0,72000.0,20.0,7.0,1,38.0,0,1.0191666666666668,25.0
5.0,105800.0,24.0,6.0,1,40.0,0,1.0016666666666667,26.0
5.0,104250.0,21.0,6.0,0,35.0,0,1.0019444444444443,29.0
9.0,208900.0,25.0,10.0,1,50.0,0,1.0186111111111111,28.0
3.0,39000.0,30.0,4.0,1,48.0,0,1.0019444444444443,29.0
7.0,201575.0,47.142857142857146,8.0,0,44.0,0,1.0186111111111111,31.0
5.0,85000.0,24.0,6.0,0,37.0,0,1.0016666666666667,31.0
4.0,50500.0,26.25,5.0,1,60.0,0,1.0016666666666667,27.0
1.0,13000.0,30.0,2.0,1,36.0,0,1.0027777777777778,30.0
6.0,95375.0,22.5,7.0,1,41.0,0,1.0019444444444443,13.0
9.0,250000.0,43.333333333333336,10.0,1,39.0,0,1.0016666666666667,35.0
4.0,52000.0,30.0,5.0,1,43.0,0,1.002222222222222,30.0
1.0,11500.0,15.0,2.0,1,32.0,0,1.0191666666666668,15.0
8.0,161500.0,22.5,9.0,1,36.0,0,1.0019444444444443,29.0
3.0,39000.0,30.0,4.0,1,35.0,0,1.0030555555555556,21.0
8.0,175300.0,26.25,9.0,1,41.0,0,1.0186111111111111,30.0
2.0,24500.0,22.5,3.0,1,31.0,0,1.0016666666666667,30.0
1.0,11500.0,15.0,2.0,1,40.0,0,1.018888888888889,14.0
2.0,26000.0,30.0,3.0,1,34.0,0,1.0016666666666667,30.0
11.0,295900.0,35.45454545454545,12.0,1,33.0,0,1.0027777777777778,25.0
1.0,13000.0,30.0,2.0,0,40.0,0,1.0030555555555556,37.0
4.0,62000.0,26.25,5.0,1,30.0,0,1.0016666666666667,38.0
1.0,11500.0,15.0,2.0,1,34.0,0,1.018888888888889,19.0
1.0,13000.0,30.0,2.0,1,31.0,0,1.018888888888889,28.0
14.0,419775.0,42.85714285714285,15.0,1,43.0,0,1.002222222222222,22.0
2.0,24500.0,22.5,3.0,1,35.0,0,1.0019444444444443,30.0
1.0,11500.0,15.0,2.0,1,39.0,0,1.018888888888889,10.0
11.0,255800.0,21.818181818181817,12.0,1,40.0,0,1.018888888888889,34.0
3.0,36000.0,20.0,4.0,0,35.0,0,1.0186111111111111,6.0
3.0,39000.0,30.0,4.0,1,30.0,0,1.0019444444444443,29.0
5.0,63500.0,27.0,6.0,1,33.0,0,1.0019444444444443,25.0
4.0,49000.0,22.5,5.0,1,36.0,0,1.0186111111111111,26.0
2.0,26000.0,30.0,3.0,1,44.0,0,1.002222222222222,24.0
5.0,63500.0,27.0,6.0,0,31.0,0,1.0191666666666668,41.0
10.0,220225.0,24.0,11.0,1,30.0,0,1.0019444444444443,24.0
2.0,24500.0,22.5,3.0,1,32.0,0,1.0016666666666667,32.0
6.0,98000.0,25.0,7.0,1,40.0,0,1.0016666666666667,28.0
12.0,290250.0,27.5,13.0,1,34.0,0,1.002222222222222,44.0
3.0,38500.0,30.0,4.0,1,42.0,0,1.0019444444444443,16.0
1.0,11500.0,15.0,2.0,1,49.0,0,1.018888888888889,13.0
1.0,13000.0,30.0,2.0,0,28.0,0,1.0194444444444444,17.0
6.0,108800.0,25.0,7.0,1,35.0,0,1.0044444444444445,32.0
5.0,65000.0,30.0,6.0,0,31.0,0,1.0019444444444443,48.0
3.0,39000.0,30.0,4.0,1,34.0,0,1.0016666666666667,28.0
9.0,138275.0,23.33333333333333,10.0,1,42.0,0,1.018333333333333,23.0
3.0,39000.0,30.0,4.0,1,33.0,0,1.0016666666666667,29.0
9.0,203500.0,20.0,10.0,1,38.0,0,1.0019444444444443,30.0
11.0,293050.0,31.363636363636363,12.0,1,40.0,0,1.002222222222222,27.0
